subject_id,spider score, parent CTX image, center latitude, center longitude
1491751,0.794,"P13_006197_0930_XN_87S187W",-86.86,170.29
1515079,0.794,"P13_006234_1008_XN_79S168W",-79.39,191.61
485155,0.794,"P12_005705_1016_XI_78S133W",-77.77,225.04
491858,0.794,"P13_006148_1028_XN_77S342W",-79.13,19.57
1515143,0.788,"P13_006234_1008_XN_79S168W",-78.61,190.90
491679,0.783,"P13_006148_1028_XN_77S342W",-79.46,19.28
486361,0.782,"D14_032518_0995_XN_80S281W",-82.34,82.89
1510224,0.781,"G13_023338_1043_XI_75S229W",-77.45,132.71
488395,0.780,"P13_006204_0986_XN_81S065W",-81.53,295.88
488368,0.778,"P13_006204_0986_XN_81S065W",-80.68,293.58
487949,0.777,"P13_005953_1020_XN_78S057W",-80.42,306.10
492029,0.775,"P13_006148_1028_XN_77S342W",-79.27,20.51
1491727,0.773,"P13_006197_0930_XN_87S187W",-86.89,168.72
491946,0.769,"P13_006148_1028_XN_77S342W",-79.06,19.82
486388,0.767,"D14_032518_0995_XN_80S281W",-80.80,79.07
488615,0.765,"D13_032352_0985_XN_81S063W",-81.90,297.34
1044860,0.765,"P13_006151_0974_XN_82S055W",-81.98,302.44
491127,0.764,"G14_023506_1036_XN_76S132W",-78.96,231.00
491438,0.764,"P13_006173_0934_XN_86S263W",-86.59,97.18
489864,0.764,"D13_032173_1031_XN_76S227W",-77.01,133.22
489820,0.764,"D13_032173_1031_XN_76S227W",-77.07,132.08
489164,0.763,"G14_023538_1006_XN_79S285W",-80.79,75.38
491857,0.762,"P13_006148_1028_XN_77S342W",-79.19,19.65
1515196,0.761,"P13_006234_1008_XN_79S168W",-78.48,191.07
489809,0.761,"D13_032173_1031_XN_76S227W",-77.08,131.79
488588,0.761,"D13_032352_0985_XN_81S063W",-81.93,296.90
1044878,0.760,"P13_006151_0974_XN_82S055W",-81.75,301.89
490011,0.759,"P12_005790_0978_XI_82S284W",-82.45,74.79
1515146,0.758,"P13_006234_1008_XN_79S168W",-78.43,190.67
491391,0.757,"P13_006173_0934_XN_86S263W",-86.91,97.01
490692,0.756,"P13_006207_0956_XN_84S136W",-86.48,245.62
491492,0.755,"D14_032675_0924_XN_87S253W",-87.69,108.90
1058655,0.754,"D14_032593_1037_XN_76S174W",-76.16,185.66
1041163,0.753,"G14_023691_1031_XN_76S143W",-77.96,217.88
1491725,0.751,"P13_006197_0930_XN_87S187W",-86.94,170.71
488367,0.751,"P13_006204_0986_XN_81S065W",-80.74,293.70
1043396,0.751,"G14_023616_1004_XN_79S248W",-79.69,112.09
490089,0.751,"G14_023496_1047_XI_75S213W",-75.22,145.93
1058140,0.750,"P13_006151_0974_XN_82S055W",-82.00,304.53
490022,0.750,"P12_005790_0978_XI_82S284W",-82.43,75.28
490240,0.750,"G14_023591_0996_XN_80S284W",-80.78,75.34
1047644,0.750,"D14_032593_1037_XN_76S174W",-76.68,185.30
1515055,0.750,"P13_006234_1008_XN_79S168W",-77.81,189.28
1510170,0.750,"G13_023338_1043_XI_75S229W",-77.34,132.30
490107,0.750,"G14_023496_1047_XI_75S213W",-75.49,146.58
1510007,0.749,"G13_023338_1043_XI_75S229W",-77.07,131.16
1491723,0.749,"P13_006197_0930_XN_87S187W",-87.00,172.76
1044690,0.749,"P13_006151_0974_XN_82S055W",-81.83,301.59
488533,0.749,"D13_032352_0985_XN_81S063W",-82.03,296.19
1047770,0.748,"D14_032593_1037_XN_76S174W",-76.57,186.08
490051,0.748,"P12_005790_0978_XI_82S284W",-81.99,75.38
1044654,0.748,"P13_006151_0974_XN_82S055W",-82.34,302.88
1510467,0.747,"D14_032733_1028_XN_77S036W",-77.71,323.76
1515027,0.747,"P13_006234_1008_XN_79S168W",-79.47,191.35
1320835,0.746,"P12_005839_0994_XI_80S170W",-80.80,189.22
488267,0.746,"P13_006204_0986_XN_81S065W",-81.71,294.86
484275,0.746,"G14_023634_1036_XN_76S027W",-74.57,330.81
488370,0.745,"P13_006204_0986_XN_81S065W",-80.57,293.36
1500909,0.744,"D13_032311_0999_XN_80S031W",-80.14,328.63
488435,0.744,"P13_006204_0986_XN_81S065W",-81.62,296.59
1491714,0.741,"P13_006197_0930_XN_87S187W",-87.19,182.87
492034,0.738,"P13_006148_1028_XN_77S342W",-78.98,20.08
1058054,0.737,"P13_006151_0974_XN_82S055W",-82.16,303.95
486348,0.734,"D14_032518_0995_XN_80S281W",-83.07,85.31
1058656,0.732,"D14_032593_1037_XN_76S174W",-76.10,185.61
491596,0.729,"P13_006148_1028_XN_77S342W",-79.24,18.61
489815,0.727,"D13_032173_1031_XN_76S227W",-77.36,132.37
487698,0.726,"P13_005953_1020_XN_78S057W",-79.89,304.02
1041158,0.726,"G14_023691_1031_XN_76S143W",-78.25,218.22
490062,0.726,"P12_005790_0978_XI_82S284W",-81.97,75.84
491945,0.723,"P13_006148_1028_XN_77S342W",-79.12,19.91
491935,0.722,"P13_006148_1028_XN_77S342W",-79.70,20.79
490900,0.721,"G14_023506_1036_XN_76S132W",-77.00,227.76
488342,0.721,"P13_006204_0986_XN_81S065W",-82.18,297.08
489995,0.719,"P12_005747_1035_XI_76S195W",-76.71,165.26
1044676,0.719,"P13_006151_0974_XN_82S055W",-82.00,302.00
1043264,0.718,"P13_006271_1010_XN_79S098W",-80.10,263.78
1510026,0.717,"G13_023338_1043_XI_75S229W",-75.93,130.44
1510010,0.716,"G13_023338_1043_XI_75S229W",-76.89,131.04
1515046,0.714,"P13_006234_1008_XN_79S168W",-78.35,189.89
1515132,0.714,"P13_006234_1008_XN_79S168W",-79.26,191.79
1510297,0.714,"G13_023338_1043_XI_75S229W",-75.88,131.83
488589,0.713,"D13_032352_0985_XN_81S063W",-81.87,296.73
1320830,0.712,"P12_005839_0994_XI_80S170W",-81.07,190.12
487202,0.711,"P13_006229_0951_XN_84S014W",-84.50,341.42
491849,0.711,"P13_006148_1028_XN_77S342W",-79.66,20.34
1058059,0.711,"P13_006151_0974_XN_82S055W",-81.88,303.19
488590,0.711,"D13_032352_0985_XN_81S063W",-81.81,296.56
1043260,0.711,"P13_006271_1010_XN_79S098W",-80.33,264.20
491769,0.710,"P13_006148_1028_XN_77S342W",-79.27,19.38
1510118,0.710,"G13_023338_1043_XI_75S229W",-77.11,131.82
1491716,0.709,"P13_006197_0930_XN_87S187W",-87.16,180.51
1320849,0.707,"P12_005839_0994_XI_80S170W",-80.71,189.47
1510416,0.707,"D14_032733_1028_XN_77S036W",-77.70,324.06
490991,0.706,"G14_023506_1036_XN_76S132W",-76.74,227.82
488371,0.706,"P13_006204_0986_XN_81S065W",-80.51,293.25
1041284,0.706,"G14_023691_1031_XN_76S143W",-78.30,218.61
1515042,0.706,"P13_006234_1008_XN_79S168W",-78.58,190.17
489862,0.705,"D13_032173_1031_XN_76S227W",-77.13,133.35
1515121,0.705,"P13_006234_1008_XN_79S168W",-79.90,192.78
1043317,0.705,"P13_006271_1010_XN_79S098W",-79.96,263.93
1058658,0.703,"D14_032593_1037_XN_76S174W",-76.62,186.42
488329,0.703,"P13_006204_0986_XN_81S065W",-80.53,292.86
1058055,0.702,"P13_006151_0974_XN_82S055W",-82.11,303.79
491768,0.702,"P13_006148_1028_XN_77S342W",-79.33,19.47
1058139,0.702,"P13_006151_0974_XN_82S055W",-82.06,304.69
1515106,0.701,"P13_006234_1008_XN_79S168W",-77.80,189.59
1070749,0.701,"P13_006174_0958_XN_84S316W",-84.06,41.70
490068,0.700,"P12_005790_0978_XI_82S284W",-82.24,76.94
1070760,0.699,"P13_006174_0958_XN_84S316W",-84.03,42.27
1515028,0.699,"P13_006234_1008_XN_79S168W",-79.41,191.26
1491747,0.698,"P13_006197_0930_XN_87S187W",-86.96,174.34
